,UE,UX,BSAT,BSUC
UE1,0.8397904462031378,0.27747129428569245,0.21998873633915308,0.21120397036532912
UE2,0.811747074786747,0.3042639168269249,0.24045537884807355,0.20680705326058899
UE3,0.8522822488537158,0.3304408815951946,0.3026901388152818,0.2169312722561945
UE4,0.8388392958841121,0.31075980093085853,0.23340709450056404,0.2324186619474901
UE5,0.8172560506897757,0.2903755167875018,0.24382538367961779,0.23602790505942786
UX1,0.26549313785340284,0.8429998090116708,0.3444676879060987,0.2713498816827668
UX2,0.31353519543446373,0.8222128170904489,0.33897791912968445,0.2559774529427518
UX3,0.3476895796021134,0.8352397073153806,0.39939850916846925,0.3358037486751234
UX4,0.33153772167599066,0.8402244378574657,0.391252241433232,0.2592155089429312
UX5,0.2623244582110895,0.8384114756664841,0.39772026002723215,0.2948229967904253
BSAT1,0.22284749284967398,0.3644918340457068,0.8547221671473244,0.46624550601779324
BSAT2,0.24031825700981335,0.4032436641616528,0.8715252394457643,0.4701954496902996
BSAT3,0.32078850209354515,0.4204294736147423,0.8792702601282415,0.47065874660216206
BSAT4,0.2457620422467212,0.3606669299410592,0.8429903104673341,0.4729696643055866
BSUC1,0.2384738064903252,0.30609198858470404,0.48822043205682986,0.8743637454049464
BSUC2,0.22831827599281823,0.2956517030161446,0.4429604754388099,0.8402465743210705
BSUC3,0.21143336489472114,0.2645796948314558,0.49115903644832243,0.8718505612219574
BSUC4,0.23908796143945613,0.3137001925028433,0.46105788568890677,0.8712655306430235
