Construct,Indicator,Loading
UE,UE1,0.8313632790979542
UE,UE2,0.8620336651323638
UE,UE3,0.9461631145316517
UE,UE4,0.8810710515208988
UE,UE5,0.8439876835077612
UX,UX1,0.8597401589331419
UX,UX2,0.8998645916864209
UX,UX3,0.8888969974394731
UX,UX4,0.8534674215303563
UX,UX5,0.8740626633491179
BSAT,BSAT1,0.9012384712785244
BSAT,BSAT2,0.8773486505524386
BSAT,BSAT3,0.8571832442825227
BSAT,BSAT4,0.9098202754579012
BSUC,BSUC1,0.9002028593095134
BSUC,BSUC2,0.8977068707384699
BSUC,BSUC3,0.8712472977111277
BSUC,BSUC4,0.832320972092594
