,UE1,UE2,UE3,UE4,UE5,UX1,UX2,UX3,UX4,UX5,BSAT1,BSAT2,BSAT3,BSAT4,BSUC1,BSUC2,BSUC3,BSUC4
UE1,1.0,0.7456,0.718,0.7081,0.7402,0.0103,-0.0248,-0.0169,0.007,-0.0015,0.0136,-0.0583,-0.0185,0.0212,0.0585,0.0182,-0.0038,-0.0001
UE2,0.7456,1.0,0.736,0.7553,0.775,0.0561,-0.0128,0.0297,0.0695,0.0108,0.0131,-0.0566,-0.0235,-0.025,0.0363,0.0237,-0.0084,-0.0022
UE3,0.718,0.736,1.0,0.7199,0.7374,0.0308,-0.0556,-0.0583,-0.0104,-0.0196,-0.0603,-0.069,-0.0704,-0.0309,0.103,0.0816,0.0497,0.0306
UE4,0.7081,0.7553,0.7199,1.0,0.7544,0.0666,-0.0101,0.0199,0.0733,0.0392,-0.0325,-0.0805,-0.0535,-0.0041,0.0453,0.0385,0.0135,0.0339
UE5,0.7402,0.775,0.7374,0.7544,1.0,0.0377,-0.0373,-0.0263,0.0106,-0.0054,0.0024,-0.0284,-0.0369,0.03,0.0449,0.0042,-0.0097,0.0007
UX1,0.0103,0.0561,0.0308,0.0666,0.0377,1.0,0.7026,0.7171,0.7063,0.7199,0.0644,-0.0027,-0.0176,0.0677,-0.0446,-0.065,-0.0908,-0.0829
UX2,-0.0248,-0.0128,-0.0556,-0.0101,-0.0373,0.7026,1.0,0.7361,0.6643,0.7248,0.1357,0.0811,0.0718,0.1243,-0.0255,-0.0823,-0.0727,-0.0257
UX3,-0.0169,0.0297,-0.0583,0.0199,-0.0263,0.7171,0.7361,1.0,0.6951,0.7292,0.0873,0.0237,0.0115,0.1128,-0.0694,-0.0628,-0.0593,-0.0544
UX4,0.007,0.0695,-0.0104,0.0733,0.0106,0.7063,0.6643,0.6951,1.0,0.7213,0.0937,0.0691,0.0583,0.138,0.0377,-0.0318,-0.0097,0.0589
UX5,-0.0015,0.0108,-0.0196,0.0392,-0.0054,0.7199,0.7248,0.7292,0.7213,1.0,0.0712,0.0235,0.0039,0.0851,-0.0188,-0.056,-0.0603,-0.0206
BSAT1,0.0136,0.0131,-0.0603,-0.0325,0.0024,0.0644,0.1357,0.0873,0.0937,0.0712,1.0,0.7173,0.7345,0.7087,0.0571,-0.0398,0.0211,-0.0005
BSAT2,-0.0583,-0.0566,-0.069,-0.0805,-0.0284,-0.0027,0.0811,0.0237,0.0691,0.0235,0.7173,1.0,0.7384,0.7345,0.0191,-0.0061,-0.0231,0.0001
BSAT3,-0.0185,-0.0235,-0.0704,-0.0535,-0.0369,-0.0176,0.0718,0.0115,0.0583,0.0039,0.7345,0.7384,1.0,0.7059,0.0282,-0.021,-0.019,-0.0008
BSAT4,0.0212,-0.025,-0.0309,-0.0041,0.03,0.0677,0.1243,0.1128,0.138,0.0851,0.7087,0.7345,0.7059,1.0,0.0541,0.0405,0.0312,0.0016
BSUC1,0.0585,0.0363,0.103,0.0453,0.0449,-0.0446,-0.0255,-0.0694,0.0377,-0.0188,0.0571,0.0191,0.0282,0.0541,1.0,0.7005,0.6998,0.7098
BSUC2,0.0182,0.0237,0.0816,0.0385,0.0042,-0.065,-0.0823,-0.0628,-0.0318,-0.056,-0.0398,-0.0061,-0.021,0.0405,0.7005,1.0,0.6983,0.6886
BSUC3,-0.0038,-0.0084,0.0497,0.0135,-0.0097,-0.0908,-0.0727,-0.0593,-0.0097,-0.0603,0.0211,-0.0231,-0.019,0.0312,0.6998,0.6983,1.0,0.6879
BSUC4,-0.0001,-0.0022,0.0306,0.0339,0.0007,-0.0829,-0.0257,-0.0544,0.0589,-0.0206,-0.0005,0.0001,-0.0008,0.0016,0.7098,0.6886,0.6879,1.0
