Construct,Indicator,OuterWeight,OuterLoading,IndicatorReliability(Communality),Redundancy(1-L^2)
UE,UE1,0.2221,0.8789,0.7724,0.2276
UE,UE2,0.2282,0.9029,0.8152,0.1848
UE,UE3,0.2221,0.8787,0.7721,0.2279
UE,UE4,0.2237,0.8852,0.7836,0.2164
UE,UE5,0.2279,0.9018,0.8132,0.1868
UX,UX1,0.2279,0.8769,0.7689,0.2311
UX,UX2,0.2268,0.8727,0.7615,0.2385
UX,UX3,0.23,0.8847,0.7827,0.2173
UX,UX4,0.2242,0.8624,0.7437,0.2563
UX,UX5,0.2311,0.8889,0.7902,0.2098
BSAT,BSAT1,0.28,0.8874,0.7874,0.2126
BSAT,BSAT2,0.2828,0.8964,0.8036,0.1964
BSAT,BSAT3,0.2817,0.893,0.7975,0.2025
BSAT,BSAT4,0.2788,0.8839,0.7812,0.2188
BSUC,BSUC1,0.2861,0.8848,0.7829,0.2171
BSUC,BSUC2,0.2838,0.8777,0.7704,0.2296
BSUC,BSUC3,0.2837,0.8772,0.7696,0.2304
BSUC,BSUC4,0.2837,0.8774,0.7698,0.2302
