UE_f,UX_f,BSAT_f,BSUC_f
0.1152,0.9604,0.9433,0.3094
0.83,0.501,0.9572,0.501
0.1152,0.0403,0.05,0.932
0.2437,0.501,0.05,0.1331
0.17,0.2878,0.0651,0.1671
0.0941,0.937,0.9433,0.7274
0.3364,0.7733,0.2726,0.658
0.7122,0.0324,0.2726,0.5811
0.17,0.8134,0.8725,0.1051
0.5564,0.7733,0.9252,0.9734
0.7956,0.8134,0.5369,0.1051
0.3364,0.05,0.05,0.5811
0.9235,0.3886,0.5369,0.837
0.0403,0.937,0.9252,0.9081
0.6636,0.0619,0.8725,0.4335
0.7956,0.1152,0.465,0.1331
0.8596,0.2044,0.3316,0.1331
0.9059,0.0324,0.8725,0.7274
0.83,0.9688,0.902,0.2078
0.501,0.0619,0.0651,0.837
0.8848,0.2878,0.0382,0.1051
0.17,0.2878,0.1088,0.05
0.9597,0.6203,0.1762,0.932
0.3886,0.7733,0.2206,0.837
0.0619,0.0619,0.3316,0.932
0.0765,0.561,0.0651,0.0644
0.8596,0.8134,0.2206,0.2078
0.6636,0.95,0.738,0.837
0.6636,0.0765,0.1088,0.4335
0.1152,0.05,0.902,0.2553
0.83,0.4436,0.465,0.7274
0.95,0.6761,0.738,0.1331
0.9059,0.8769,0.1088,0.9081
0.17,0.6203,0.465,0.3693
0.7956,0.17,0.6092,0.7274
0.7122,0.501,0.465,0.2553
0.9235,0.9208,0.5369,0.658
0.9597,0.9208,0.9572,0.8769
0.83,0.7274,0.465,0.1671
0.1152,0.561,0.1088,0.0644
0.9235,0.0403,0.0844,0.05
0.83,0.95,0.6092,0.2078
0.9381,0.561,0.9678,0.3693
0.6636,0.0619,0.6092,0.2078
0.2878,0.1404,0.1391,0.05
0.83,0.7733,0.0844,0.8769
0.7956,0.3886,0.6092,0.3094
0.5564,0.6761,0.465,0.658
0.05,0.901,0.677,0.5811
0.2044,0.9604,0.677,0.5811
0.1152,0.1152,0.0651,0.9634
0.6636,0.501,0.677,0.7274
0.5564,0.0403,0.0844,0.0387
0.8848,0.8478,0.0382,0.4335
0.0324,0.8478,0.9433,0.3693
0.83,0.4436,0.8358,0.95
0.2044,0.6203,0.9252,0.1671
0.9235,0.4436,0.0651,0.7873
0.83,0.937,0.902,0.501
0.2437,0.17,0.5369,0.2553
0.05,0.8478,0.9433,0.3693
0.95,0.4436,0.9252,0.3693
0.501,0.0941,0.2726,0.9634
0.0619,0.0765,0.465,0.5811
0.2437,0.7733,0.2206,0.2078
0.2878,0.0619,0.8358,0.4335
0.83,0.95,0.9433,0.3693
0.6636,0.6203,0.1762,0.05
0.95,0.2437,0.3316,0.0825
0.95,0.9688,0.3316,0.05
0.95,0.4436,0.1762,0.837
0.8848,0.2044,0.5369,0.8769
0.17,0.1404,0.5369,0.7274
0.9235,0.501,0.0651,0.501
0.2044,0.2437,0.465,0.8769
