UE,UX,BSAT,BSUC
2.2,6.6,6.5,3.5
5.4,4.0,6.75,4.25
2.2,1.2,1.5,6.25
3.0,4.0,1.5,2.5
2.6,3.2,1.75,2.75
2.0,6.2,6.5,5.0
3.4,5.0,3.25,4.75
4.8,1.0,3.25,4.5
2.6,5.2,5.75,2.25
4.2,5.0,6.25,7.0
5.2,5.2,4.25,2.25
3.4,1.4,1.5,4.5
6.2,3.6,4.25,5.5
1.2,6.2,6.25,6.0
4.6,1.6,5.75,4.0
5.2,2.2,4.0,2.5
5.6,2.8,3.5,2.5
6.0,1.0,5.75,5.0
5.4,6.8,6.0,3.0
4.0,1.6,1.75,5.5
5.8,3.2,1.25,2.25
2.6,3.2,2.25,1.5
6.8,4.4,2.75,6.25
3.6,5.0,3.0,5.5
1.6,1.6,3.5,6.25
1.8,4.2,1.75,1.75
5.6,5.2,3.0,3.0
4.6,6.4,5.0,5.5
4.6,1.8,2.25,4.0
2.2,1.4,6.0,3.25
5.4,3.8,4.0,5.0
6.6,4.6,5.0,2.5
6.0,5.6,2.25,6.0
2.6,4.4,4.0,3.75
5.2,2.6,4.5,5.0
4.8,4.0,4.0,3.25
6.2,6.0,4.25,4.75
6.8,6.0,6.75,5.75
5.4,4.8,4.0,2.75
2.2,4.2,2.25,1.75
6.2,1.2,2.0,1.5
5.4,6.4,4.5,3.0
6.4,4.2,7.0,3.75
4.6,1.6,4.5,3.0
3.2,2.4,2.5,1.5
5.4,5.0,2.0,5.75
5.2,3.6,4.5,3.5
4.2,4.6,4.0,4.75
1.4,5.8,4.75,4.5
2.8,6.6,4.75,4.5
2.2,2.2,1.75,6.75
4.6,4.0,4.75,5.0
4.2,1.2,2.0,1.25
5.8,5.4,1.25,4.0
1.0,5.4,6.5,3.75
5.4,3.8,5.5,6.5
2.8,4.4,6.25,2.75
6.2,3.8,1.75,5.25
5.4,6.2,6.0,4.25
3.0,2.6,4.25,3.25
1.4,5.4,6.5,3.75
6.6,3.8,6.25,3.75
4.0,2.0,3.25,6.75
1.6,1.8,4.0,4.5
3.0,5.0,3.0,3.0
3.2,1.6,5.5,4.0
5.4,6.4,6.5,3.75
