BSAT,BSUC
1.2751,-0.2824
1.6222,0.0153
-1.407,1.2816
-1.5359,-0.9503
-1.3471,-0.8213
1.297,0.6314
-0.5395,0.4419
-0.3065,0.1257
0.9189,-1.1024
1.2473,1.7774
0.09,-1.1378
-1.3876,0.1762
0.1815,0.7823
1.1208,1.2706
1.1352,-0.1885
0.0775,-1.0821
-0.2307,-1.0699
1.1894,0.3715
1.0426,-0.6492
-1.2385,0.7878
-1.5827,-1.1918
-1.0585,-1.592
-0.721,1.2733
-0.6715,0.9002
-0.2535,1.29
-1.4175,-1.3808
-0.6454,-0.6742
0.4541,0.9045
-0.9413,-0.1483
1.2427,-0.6094
0.0141,0.5096
0.5846,-1.0429
-1.1014,1.1875
-0.0818,-0.1856
0.3616,0.4622
-0.0153,-0.55
0.0709,0.4088
1.5534,0.9841
-0.0276,-0.8445
-1.1172,-1.3971
-1.0276,-1.7351
0.1709,-0.6418
1.7863,-0.3075
0.3962,-0.7937
-0.859,-1.6348
-1.2238,1.0223
0.3168,-0.4312
-0.051,0.4016
0.2781,0.3402
0.2474,0.3339
-1.319,1.6172
0.4301,0.517
-1.0735,-1.8486
-1.69,-0.0379
1.308,-0.1396
0.9008,1.4127
1.2603,-0.8275
-1.2974,0.6598
1.0824,0.1002
0.1643,-0.5647
1.3183,-0.149
1.3601,-0.3128
-0.3594,1.5585
0.0208,0.2086
-0.6875,-0.6252
0.9642,-0.1559
1.3658,-0.2014
-0.7774,-1.5989
-0.226,-1.3897
-0.4045,-1.571
-0.7063,0.7933
0.224,0.9193
0.1632,0.514
-1.3041,0.0583
0.0047,0.9958
0.4328,-1.1322
0.4832,1.5809
-0.6083,-1.4696
0.4919,-0.0376
0.8393,-0.9989
1.4352,0.6916
0.6227,-0.4978
-0.582,1.1473
-0.5246,1.3498
-1.1609,0.9932
0.823,1.7642
1.3616,-0.61
-1.0211,-1.2272
0.7343,-1.0094
-1.0149,-1.2014
1.5005,-0.5074
-0.1182,1.2706
0.5186,1.2323
0.9905,0.0768
-0.5124,0.7406
-1.528,0.3982
0.5972,0.1511
-1.9482,-0.8676
1.6335,0.6335
1.2909,1.2896
0.6806,1.6391
1.5068,0.3149
-0.2853,-0.299
1.5498,-0.7746
0.1321,-0.977
-1.9189,-1.819
0.195,-1.4209
0.552,0.8869
-0.2812,-1.184
1.2823,1.5823
-0.0905,-1.25
-1.0344,-0.0677
1.3234,-0.7243
-0.4129,0.9324
1.2498,0.4567
0.5347,-1.0314
0.8424,1.0564
0.0601,-0.8116
-0.25,-0.9593
1.5471,-0.2641
0.3682,-1.5733
0.2749,-1.1182
-1.765,-0.0935
-1.5986,0.0304
-0.6894,0.5073
-0.8174,0.8065
-1.7542,0.7877
-0.8603,-1.0631
-0.4081,-1.6637
-1.4466,0.6549
1.3008,-1.1938
-1.2598,-1.0922
0.8429,0.0715
1.3356,1.566
-0.6441,0.3
1.747,0.1938
-0.3911,-1.667
1.008,0.08
0.0764,-1.0863
1.1524,-0.2961
-0.0944,-1.1114
0.199,-1.7284
-0.0431,0.2024
1.7617,0.0392
-0.6554,0.9134
0.8356,-1.1504
-1.2605,-0.5781
0.0202,1.543
1.1566,0.0985
0.6031,0.6114
-0.3398,-0.5614
1.0323,1.0636
1.0579,0.5592
-0.3218,0.2382
1.4679,-1.079
0.686,-0.5383
